BJD - 2454833, Corrected Flux
2318.727251604, 0.820991008,
2318.747683669, 0.822575733,
2318.768115633, 0.821464025,
2318.788547597, 0.821559427,
2318.829411525, 0.824036861,
2318.849843488, 0.825036611,
2318.870275551, 0.823375030,
2318.890707413, 0.824707064,
2318.911139375, 0.825080429,
2318.931571437, 0.823584123,
2318.952003297, 0.823892060,
2318.972435258, 0.824379838,
2318.992867319, 0.824061143,
2319.013299179, 0.826167403,
2319.033731239, 0.825435413,
2319.074595057, 0.825710839,
2319.095027116, 0.827225176,
2319.115459074, 0.827147604,
2319.135890932, 0.827400720,
2319.156322990, 0.829857936,
2319.176754847, 0.829999362,
2319.197186803, 0.829610416,
2319.217618860, 0.830605950,
2319.238050716, 0.832051864,
2319.258482672, 0.834424680,
2319.278914727, 0.835307307,
2319.299346682, 0.834842400,
2319.319778537, 0.833006847,
2319.340210591, 0.831904862,
2319.360642545, 0.829468866,
2319.381074398, 0.829670525,
2319.401506451, 0.827595843,
2319.421938404, 0.827462447,
2319.442370456, 0.825166246,
2319.462802308, 0.828968809,
2319.483234260, 0.828035067,
2319.503666312, 0.826249248,
2319.524098162, 0.827763681,
2319.564962163, 0.816156441,
2319.585394013, 0.803390558,
2319.605825963, 0.806903512,
2319.626258012, 0.820809971,
2319.646689860, 0.820598941,
2319.667121809, 0.820804441,
2319.687553857, 0.821291364,
2319.707985804, 0.821174814,
2319.728417652, 0.822362907,
2319.748849699, 0.822586112,
2319.769281645, 0.824880292,
2319.810145537, 0.821343519,
2319.830577483, 0.823087282,
2319.851009428, 0.826111518,
2319.871441373, 0.826823754,
2319.891873217, 0.828423193,
2319.912305261, 0.828516399,
2319.932737205, 0.828406816,
2319.953169148, 0.826423004,
2319.973601091, 0.827797370,
2319.994033033, 0.830340395,
2320.014464876, 0.830568781,
2320.034896918, 0.830002031,
2320.055328859, 0.829816230,
2320.075760700, 0.829896195,
2320.096192741, 0.830075422,
2320.116624682, 0.832409231,
2320.137056622, 0.833038198,
2320.157488561, 0.833148341,
2320.177920501, 0.832917081,
2320.198352440, 0.833633984,
2320.218784378, 0.837084029,
2320.239216317, 0.837768474,
2320.259648355, 0.837559060,
2320.300512129, 0.826964364,
2320.320944166, 0.827659873,
2320.341376103, 0.828342039,
2320.361807939, 0.827134020,
2320.382239975, 0.825765185,
